"id","link","createdAt","updatedAt","IdProducto","dimension","key","folio","height","width"
719,"https://bull-imagenes.s3.amazonaws.com/tryadd-portadas/portadas-id-19-nombre-0-400-400.png","2019-01-20 18:03:17","2019-01-22 01:58:11",19,"400x400","400_19.png",63521,400,400
694,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/694.jpg","2018-07-26 22:18:19","2019-01-22 01:58:11",1852,"400x400","400_1852.png",14295,400,400
693,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/693.jpg","2018-07-26 22:03:09","2019-01-22 01:58:11",1849,"400x400","400_1849.png",98657,400,400
692,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/692.jpg","2018-07-26 21:39:19","2019-01-22 01:58:11",1857,"400x400","400_1857.png",83217,400,400
688,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/688.jpg","2018-07-26 18:35:58","2019-01-22 01:58:11",3156,"400x400","400_3156.png",80840,400,400
687,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/687.jpg","2018-07-26 18:31:32","2019-01-22 01:58:11",1901,"400x400","400_1901.png",49411,400,400
685,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/685.jpg","2018-07-26 18:21:56","2019-01-22 01:58:11",3042,"400x400","400_3042.png",90218,400,400
684,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/684.jpg","2018-07-26 18:04:04","2019-01-22 01:58:11",7632,"400x400","400_7632.png",98449,400,400
683,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/683.jpg","2018-07-26 18:02:30","2019-01-22 01:58:11",978,"400x400","400_978.png",35267,400,400
682,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/682.jpg","2018-07-26 17:55:21","2019-01-22 01:58:11",7631,"400x400","400_7631.png",98500,400,400
681,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/681.jpg","2018-07-26 17:52:17","2019-01-22 01:58:11",1725,"400x400","400_1725.png",46471,400,400
641,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/641.jpg","2018-07-23 22:12:52","2019-01-22 01:58:11",944,"400x400","400_944.png",26778,400,400
640,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/640.jpg","2018-07-23 22:12:15","2019-01-22 01:58:11",947,"400x400","400_947.png",87524,400,400
638,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/638.jpg","2018-07-23 22:10:40","2019-01-22 01:58:11",952,"400x400","400_952.png",36228,400,400
637,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/637.jpg","2018-07-23 22:09:20","2019-01-22 01:58:11",873,"400x400","400_873.png",97897,400,400
636,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/636.jpg","2018-07-23 22:08:52","2019-01-22 01:58:11",871,"400x400","400_871.png",72241,400,400
635,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/635.jpg","2018-07-23 22:08:04","2019-01-22 01:58:11",874,"400x400","400_874.png",4875,400,400
634,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/634.jpg","2018-07-23 22:07:15","2019-01-22 01:58:11",872,"400x400","400_872.png",21486,400,400
633,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/633.jpg","2018-07-23 22:01:58","2019-01-22 01:58:11",870,"400x400","400_870.png",33410,400,400
632,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/632.jpg","2018-07-23 22:01:11","2019-01-22 01:58:11",804,"400x400","400_804.png",1146,400,400
631,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/631.jpg","2018-07-23 22:00:37","2019-01-22 01:58:11",894,"400x400","400_894.png",56991,400,400
628,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/628.jpg","2018-07-23 21:58:17","2019-01-22 01:58:11",881,"400x400","400_881.png",61708,400,400
621,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/621.jpg","2018-07-23 21:39:36","2019-01-22 01:58:11",961,"400x400","400_961.png",64208,400,400
620,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/620.jpg","2018-07-23 21:38:58","2019-01-22 01:58:11",989,"400x400","400_989.png",12335,400,400
619,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/619.jpg","2018-07-23 21:38:21","2019-01-22 01:58:11",869,"400x400","400_869.png",67799,400,400
618,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/618.jpg","2018-07-23 21:37:27","2019-01-22 01:58:11",930,"400x400","400_930.png",59060,400,400
617,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/617.jpg","2018-07-23 21:36:54","2019-01-22 01:58:11",857,"400x400","400_857.png",23843,400,400
614,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/614.jpg","2018-07-23 21:34:37","2019-01-22 01:58:11",1142,"400x400","400_1142.png",62543,400,400
613,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/613.jpg","2018-07-23 21:33:52","2019-01-22 01:58:11",976,"400x400","400_976.png",2033,400,400
612,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/612.jpg","2018-07-23 21:32:57","2019-01-22 01:58:11",933,"400x400","400_933.png",32084,400,400
611,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/611.jpg","2018-07-23 21:28:20","2019-01-22 01:58:11",932,"400x400","400_932.png",65622,400,400
610,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/610.jpg","2018-07-23 21:19:34","2019-01-22 01:58:11",948,"400x400","400_948.png",52567,400,400
609,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/609.jpg","2018-07-23 21:19:13","2019-01-22 01:58:11",972,"400x400","400_972.png",4468,400,400
608,"https://azulejos-portadas.s3.us-east-2.amazonaws.com/608.jpg","2018-07-23 21:15:03","2019-01-22 01:58:11",985,"400x400","400_985.png",12415,400,400
