"id","nombre","tipo","createdAt","updatedAt","IdPlaneta","IdConstelacion","IdGalaxia","status"
57,"autoproducto","autocomplete","2018-11-15 00:14:52","2018-11-15 00:14:52",1,49,2,1
58,"autocategoria","autocomplete","2018-11-15 00:15:01","2018-11-15 00:15:01",2,49,2,1
59,"autoversion","autocomplete","2018-11-15 00:15:23","2018-11-15 00:15:23",9,49,2,1
60,"automarca","autocomplete","2018-11-15 00:15:35","2018-11-15 00:15:35",12,49,2,1
61,"autolinea","autocomplete","2018-11-15 00:15:46","2018-11-15 00:15:46",14,49,2,1
62,"autogama","autocomplete","2018-11-15 00:15:54","2018-11-15 00:15:54",13,49,2,1
71,"autocategoria","autocomplete","2018-11-23 02:16:21","2018-11-23 18:18:08",2,70,2,1
72,"automarca","autocomplete","2018-11-23 02:17:09","2018-11-23 18:18:04",12,70,2,1
73,"autolinea","autocomplete","2018-11-23 02:17:20","2018-11-23 18:18:01",14,70,2,1
74,"autogama","autocomplete","2018-11-23 02:17:25","2018-11-23 18:17:59",14,70,2,1
80,"colores","chip","2018-11-23 18:14:32","2018-11-23 18:14:32",3,70,2,1
99,"margenes","chip","2018-12-14 22:52:14","2018-12-14 22:52:14",15,70,2,1
20,"modulo","componente","2018-10-23 01:12:45","2018-10-23 01:15:21",NULL,19,1,1
35,"precio","componente","2018-11-02 17:38:15","2018-11-10 21:30:00",NULL,17,1,1
36,"version","componente","0000-00-00 00:00:00","0000-00-00 00:00:00",9,23,1,1
37,"linea","componente","2018-11-06 22:24:28","2018-11-06 22:24:28",14,27,1,1
38,"gama","componente","2018-11-06 22:24:36","2018-11-06 22:24:36",13,27,1,1
39,"version","componente","2018-11-06 22:24:49","2018-11-06 22:24:49",9,27,1,1
40,"imagenes","componente","2018-11-06 22:25:06","2018-11-07 16:04:06",4,27,1,1
44,"categoria","componente","2018-11-08 03:48:13","2018-11-08 03:48:13",NULL,43,1,1
55,"buscador","componente","2018-11-14 22:24:31","2018-12-11 19:29:03",NULL,41,1,1
56,"portada","componente","2018-11-14 23:06:22","2018-11-14 23:06:22",5,55,1,1
65,"detalleversion","componente","2018-11-21 18:50:48","2018-11-22 23:43:07",9,64,2,1
66,"detalleproducto","componente","2018-11-21 18:51:08","2018-11-22 23:43:07",1,63,2,1
67,"producto","componente","2018-11-21 20:34:34","2018-11-21 20:34:34",1,63,2,1
101,"listadecompras","componente","2018-12-15 01:52:18","2018-12-15 01:52:18",36,100,1,1
103,"confirmacion","componente","2018-12-16 19:29:53","2018-12-16 22:11:42",36,102,4,1
104,"envioypago","componente","2018-12-16 19:30:29","2018-12-16 19:31:34",39,102,4,1
121,"buscarproducto","componente","2018-12-18 22:57:12","2018-12-19 20:59:53",1,117,2,1
122,"buscarversion","componente","2018-12-18 22:57:25","2018-12-19 20:59:53",9,117,2,1
123,"ajustarcantidad","dialogo","2018-12-20 18:24:12","2018-12-20 18:25:51",NULL,117,2,1
125,"crearpromocion","dialogo","2018-12-20 19:32:05","2018-12-20 19:32:05",17,115,2,1
132,"crearanuncio","dialogo","2018-12-28 05:07:25","2018-12-28 05:07:45",41,130,2,1
136,"crearentrega","dialogo","2019-01-13 23:35:39","2019-01-13 23:35:39",43,111,3,1
137,"cambiardireccion","dialogo","2019-01-17 23:46:44","2019-01-18 18:08:55",39,111,3,1
138,"cambiartarjeta","dialogo","2019-01-17 23:46:56","2019-01-18 18:08:55",40,111,3,1
23,"fichaproducto","ficha","2018-10-23 01:14:45","2018-10-23 01:14:45",1,NULL,1,2
33,"fichacategoria","ficha","2018-11-01 21:28:27","2018-11-01 21:28:27",2,NULL,1,2
83,"fichaproducto","ficha","2018-11-24 22:58:17","2018-11-24 22:58:17",1,NULL,2,1
84,"fichaversion","ficha","2018-11-24 22:58:29","2018-11-24 22:58:29",9,NULL,2,2
88,"fichausuario","ficha","2018-12-05 19:45:51","2018-12-05 19:45:51",31,NULL,2,1
94,"fichadirecciones","ficha","2018-12-11 19:28:48","2018-12-11 19:31:07",39,NULL,4,1
95,"fichatarjetas","ficha","2018-12-11 19:28:58","2018-12-11 19:31:07",40,NULL,4,1
107,"fichasucursal","ficha","2018-12-16 22:18:16","2018-12-16 22:18:16",25,NULL,3,0
108,"fichapedidos","ficha","2018-12-16 22:20:54","2018-12-16 22:20:54",33,NULL,4,1
114,"fichaespacio","ficha","2018-12-17 23:01:27","2018-12-18 22:28:32",30,NULL,1,1
